nome_produto_banner,posicao_banner,data_inicio,data_fim,categoria_informada,item_id_final,nome_produto_catalog_final,categoria_final,match_type,match_score,matched,banner_key
Purificador de Ar LG Smart HEPA ate 40m2 Grafite,1,2025-01-15,2025-01-22,Climatizacao,1176,Purificador de Ar LG Smart HEPA até 40m² Grafite,Climatização,exact,100,True,
Lavar de Máquina Arno Deluxe 8kg Preto,3,2025-02-01,2025-02-15,Eletrodomesticos,2785,Máquina de Lavar Arno Deluxe 8kg Preto,Eletrodomésticos,fuzzy,100.0,True,
Grill Elet. Mallory Delfino Churrasqueira Elet. 1800W Preto,1,2025-02-22,2025-02-28,Utilidades Domésticas,5133,Grill Elétrico Mallory Delfino Churrasqueira Elétrica 1800W Preto,Utilidades Domésticas,fuzzy,93.44262295081968,True,
GELADEIRA ATIVE! BRASTEMP DUPLEX 362L,5,2025-01-15,2025-01-22,Eletrodomésticos,1858,Geladeira Brastemp Ative! Duplex 362L Branco,Eletrodomésticos,fuzzy,91.13924050632912,True,
Projetor Digital Samsung Inverter Full HD 3500 Lumens Preto,2,2025-02-01,2025-02-22,"TV, Áudio e Vídeo",2984,Projetor Samsung Digital Inverter Full HD 3500 Lumens Preto,"TV, Áudio e Vídeo",fuzzy,100.0,True,
Eletrica Esteira Gallant Combat ate,1,2025-01-08,2025-01-29,Esporte e Lazer,3668,Esteira Elétrica Gallant Combat até 12km/h,Esporte e Lazer,fuzzy,90.9090909090909,True,
Climatizador de Ar LG NeoChef,5,2025-02-01,2025-02-08,,1157,Climatizador de Ar LG NeoChef 7L,Climatização,fuzzy,95.08196721311475,True,
DE MESA PING PONG GALLANT EXTREME MDF 18MM DOBRÁVEL,2,2025-01-15,2025-01-22,Esporte e Lazer,3672,Mesa de Ping Pong Gallant Extreme MDF 18mm Dobrável,Esporte e Lazer,fuzzy,100.0,True,
DE CAIXA SOM BLUETOOTH PHILIPS HUE 100W PARTY INOX,2,2025-01-15,2025-02-05,"TV, Áudio e Vídeo",3379,Caixa de Som Bluetooth Philips Hue 100W Party Inox,"TV, Áudio e Vídeo",fuzzy,100.0,True,
Sofá Caemmun Lord Canto 5,4,2025-02-22,2025-02-28,Móveis,4504,Sofá Caemmun Lord Canto 5 Lugares Grafite,Móveis,manual,,True,Sofá Caemmun Lord Canto 5 | 4 | 2025-02-22 | 2025-02-28
