order_id_vtex,transaction_id_ga4,date,item_id,sku,nome_produto_vtex,categoria,marca,quantidade,receita_produto,frete,receita_total,forma_pagamento,status_pedido,cupom_aplicado
ORD-20250126-00122,T-20250126-00122,2025-01-26,1876,SKU-ELE-00077,Micro-ondas Brastemp Ative! 25L Prata,Eletrodomésticos,Brastemp,1,1181.2,0.0,1181.2,credit_card,devolvido,
ORD-20250113-00153,T-20250113-00153,2025-01-13,3929,SKU-ESP-00530,Churrasqueira Gallant Pro Portátil a Carvão Grafite,Esporte e Lazer,Gallant,1,1286.67,0.0,1286.67,pix,faturado,
ORD-20250228-00297,T-20250228-00297,2025-02-28,5087,SKU-UTD-00388,Processador de Alimentos Cadence Pratic 1000W Multiprocessador Prata,Utilidades Domésticas,Cadence,1,322.62,0.0,322.62,boleto,faturado,
ORD-20250210-00200,T-20250210-00200,2025-02-10,1866,SKU-ELE-00067,Lava-Louças Brastemp Gourmand 10 Serviços Cinza,Eletrodomésticos,Brastemp,1,3581.55,44.02,3625.57,credit_card,faturado,
ORD-20250118-00086,T-20250118-00086,2025-01-18,4009,SKU-ESP-00610,Mesa de Ping Pong Kikos Pro Oficial 25mm Inox,Esporte e Lazer,Kikos,1,883.52,0.0,883.52,credit_card,faturado,
ORD-20250224-X0645,,2025-02-24,3024,SKU-TVA-00225,"Smart TV Samsung Digital Inverter 43"" 4K Grafite","TV, Áudio e Vídeo",Samsung,1,5445.21,0.0,5445.21,credit_card,cancelado,
ORD-20250109-00123,T-20250109-00123,2025-01-09,2249,SKU-ELE-00450,Fogão Consul Bem Estar Cooktop 4 Bocas Preto,Eletrodomésticos,Consul,1,1994.33,73.31,2067.64,boleto,faturado,
ORD-20250123-00073,T-20250123-00073,2025-01-23,1185,SKU-CLI-00186,Ventilador de Coluna LG ThinQ 50cm Preto,Climatização,LG,1,3779.38,0.0,3779.38,boleto,faturado,
ORD-20250103-00115,T-20250103-00115,2025-01-03,2288,SKU-ELE-00489,Fogão LG Smart 6 Bocas Inox 110V,Eletrodomésticos,LG,3,4696.22,0.0,4696.22,credit_card,faturado,
ORD-20250224-00095,T-20250224-00095,2025-02-24,1387,SKU-CLI-00388,Desumidificador Samsung Crystal 12L/dia Preto,Climatização,Samsung,1,4537.58,0.0,4537.58,credit_card,entregue,
ORD-20250225-00174,T-20250225-00174,2025-02-25,1227,SKU-CLI-00228,Purificador de Ar LG NeoChef até 50m² Grafite,Climatização,LG,1,3844.99,59.87,3904.86,credit_card,faturado,
ORD-20250226-00257,T-20250226-00257,2025-02-26,2224,SKU-ELE-00425,Lava-Louças Consul Bem Estar 8 Serviços Prata Bivolt,Eletrodomésticos,Consul,1,1109.28,22.71,1131.99,pix,faturado,
ORD-20250109-00265,T-20250109-00265,2025-01-09,3947,SKU-ESP-00548,Mesa de Ping Pong Gallant Force MDF 18mm Dobrável Preto 220V,Esporte e Lazer,Gallant,1,826.39,0.0,826.39,pix,faturado,SIM
ORD-20250203-00205,T-20250203-00205,2025-02-03,5929,SKU-FER-00330,Serra Circular Stanley Essential de Bancada 1500W,Ferramentas,Stanley,1,71.9,23.19,95.09,credit_card,faturado,
ORD-20250128-00128,T-20250128-00128,2025-01-28,1003,SKU-CLI-00004,Desumidificador LG ThinQ 12L/dia Branco,Climatização,LG,1,3361.67,0.0,3361.67,debit_card,faturado,
ORD-20250207-00188,T-20250207-00188,2025-02-07,3441,SKU-ESP-00042,Saco de Pancada Gallant Elite 120cm com Luvas,Esporte e Lazer,Gallant,1,855.66,0.0,855.66,debit_card,faturado,
ORD-20250227-00253,T-20250227-00253,2025-02-27,2004,SKU-ELE-00205,Fogão Electrolux UltimateCare 6 Bocas,Eletrodomésticos,Electrolux,1,959.57,0.0,959.57,pix,faturado,
ORD-20250109-00074,T-20250109-00074,2025-01-09,1387,SKU-CLI-00388,Desumidificador Samsung Crystal 12L/dia Preto,Climatização,Samsung,1,4742.37,0.0,4742.37,credit_card,faturado,
ORD-20250118-00076,T-20250118-00076,2025-01-18,3296,SKU-TVA-00497,Soundbar JBL Live 180W Cinza,"TV, Áudio e Vídeo",JBL,1,1222.47,74.66,1297.13,credit_card,entregue,
ORD-20250121-00054,T-20250121-00054,2025-01-21,1489,SKU-CLI-00490,Cortina de Ar Midea Springer 120cm Cinza,Climatização,Midea,2,5874.69,0.0,5874.69,boleto,faturado,
ORD-20250207-00055,T-20250207-00055,2025-02-07,1656,SKU-CLI-00657,Ar Condicionado Portátil Consul Facilite 14000 BTUs Branco,Climatização,Consul,1,2275.56,0.0,2275.56,boleto,faturado,
ORD-20250127-00049,T-20250127-00049,2025-01-27,1735,SKU-CLI-00736,Ventilador de Coluna Springer Air Plus 50cm Prata,Climatização,Springer,1,2045.15,0.0,2045.15,boleto,faturado,
ORD-20250211-00073,T-20250211-00073,2025-02-11,1817,SKU-ELE-00018,Aspirador de Pó Brastemp Ative! 1200W Inox,Eletrodomésticos,Brastemp,1,1652.76,64.32,1717.08,credit_card,faturado,
ORD-20250205-00024,T-20250205-00024,2025-02-05,1526,SKU-CLI-00527,Ar Condicionado Split Elgin Eco Plus 18000 BTUs Quente/Frio Grafite,Climatização,Elgin,1,1990.41,0.0,1990.41,pix,faturado,
ORD-20250101-00140,T-20250101-00140,2025-01-01,4050,SKU-ESP-00651,Mesa de Ping Pong Movement Perform MDF 18mm Dobrável Grafite,Esporte e Lazer,Movement,1,609.66,0.0,609.66,credit_card,entregue,
ORD-20250203-X0074,,2025-02-03,5750,SKU-FER-00151,Nível a Laser DeWalt Atomic 40m Profissional,Ferramentas,DeWalt,1,349.52,0.0,349.52,boleto,cancelado,
ORD-20250211-00422,T-20250211-00422,2025-02-11,4966,SKU-UTD-00267,Panela Elétrica de Pressão Philco Hit 8L Inox,Utilidades Domésticas,Philco,1,420.65,0.0,420.65,boleto,faturado,
ORD-20250225-00355,T-20250225-00355,2025-02-25,3651,SKU-ESP-00252,Mesa de Ping Pong Gallant Pro MDF 18mm Dobrável Branco,Esporte e Lazer,Gallant,1,204.92,28.87,233.79,credit_card,entregue,
ORD-20250102-00052,T-20250102-00052,2025-01-02,1017,SKU-CLI-00018,Purificador de Ar LG Dual Inverter Voice HEPA até 40m² Inox,Climatização,LG,1,1773.55,0.0,1773.55,boleto,faturado,
ORD-20250219-00018,T-20250219-00018,2025-02-19,1226,SKU-CLI-00227,Desumidificador LG Dual Inverter Voice 20L/dia Grafite,Climatização,LG,1,2296.29,3.13,2299.42,pix,faturado,
ORD-20250128-00348,T-20250128-00348,2025-01-28,4288,SKU-MOV-00189,Guarda-Roupa Linea Brasil Munique 3 Portas de Correr Branco,Móveis,Linea Brasil,1,982.88,74.41,1057.29,credit_card,entregue,SIM
ORD-20250119-X0572,,2025-01-19,3678,SKU-ESP-00279,Piscina Inflável Gallant Force 7500L Estrutural Grafite,Esporte e Lazer,Gallant,1,543.37,0.0,543.37,credit_card,devolvido,
ORD-20250220-X0123,,2025-02-20,4187,SKU-MOV-00088,Sofá Madesa Monaco Cama 3 Lugares Prata,Móveis,Madesa,1,2085.3,0.0,2085.3,credit_card,cancelado,
ORD-20250218-00103,T-20250218-00103,2025-02-18,2713,SKU-ELE-00914,Lava-Louças Mondial Turbo 8 Serviços Branco,Eletrodomésticos,Mondial,1,410.82,28.43,439.25,pix,cancelado,
ORD-20250126-00053,T-20250126-00053,2025-01-26,1233,SKU-CLI-00234,Ventilador de Coluna LG Art Cool 40cm Inox,Climatização,LG,2,7159.48,0.0,7159.48,credit_card,faturado,
ORD-20250101-00128,T-20250101-00128,2025-01-01,2898,SKU-TVA-00099,"Smart TV Philco Smart 55"" 4K Cinza","TV, Áudio e Vídeo",Philco,1,532.14,88.91,621.05,pix,faturado,
ORD-20250128-00183,T-20250128-00183,2025-01-28,1283,SKU-CLI-00284,Purificador de Ar Samsung Digital Inverter até 30m²,Climatização,Samsung,3,12417.67,0.0,12417.67,debit_card,faturado,
ORD-20250209-X0687,,2025-02-09,4858,SKU-UTD-00159,Ferro de Passar Britânia Mega Seco Preto,Utilidades Domésticas,Britânia,2,171.55,43.22,214.77,credit_card,cancelado,
ORD-20250123-00228,T-20250123-00228,2025-01-23,2220,SKU-ELE-00421,Lava e Seca Consul Multi Ar 12kg/8kg,Eletrodomésticos,Consul,1,2020.6,0.0,2020.6,boleto,faturado,
ORD-20250207-00252,T-20250207-00252,2025-02-07,5396,SKU-ILU-00197,Spot de Embutir Avant LED LED 5W,Iluminação,Avant,1,113.57,71.83,185.4,credit_card,devolvido,
ORD-20250218-00176,T-20250218-00176,2025-02-18,3807,SKU-ESP-00408,Piscina Inflável Gallant Elite 5000L Estrutural Inox,Esporte e Lazer,Gallant,3,684.39,0.0,684.39,boleto,devolvido,
ORD-20250109-00007,T-20250109-00007,2025-01-09,1586,SKU-CLI-00587,Ventilador de Coluna Philco PTV 50cm Preto,Climatização,Philco,1,1262.05,82.8,1344.85,pix,faturado,
ORD-20250129-00227,T-20250129-00227,2025-01-29,1714,SKU-CLI-00715,Ar Condicionado Portátil Springer Way 12000 BTUs Cinza,Climatização,Springer,1,2968.47,73.81,3042.28,pix,faturado,
ORD-20250102-00003,T-20250102-00003,2025-01-02,1653,SKU-CLI-00654,Purificador de Ar Consul Bem Estar HEPA até 40m² Branco,Climatização,Consul,1,1419.91,0.0,1419.91,pix,faturado,
ORD-20250123-00313,T-20250123-00313,2025-01-23,3569,SKU-ESP-00170,Banco de Supino Gallant Pro Ajustável Multiuso Prata Bivolt,Esporte e Lazer,Gallant,1,1359.5,27.23,1386.73,credit_card,faturado,
ORD-20250109-00139,T-20250109-00139,2025-01-09,2542,SKU-ELE-00743,Forno Elétrico Panasonic Flash Dry 36L Branco,Eletrodomésticos,Panasonic,2,1819.46,0.0,1819.46,pix,faturado,
ORD-20250130-00396,T-20250130-00396,2025-01-30,4748,SKU-UTD-00049,Liquidificador Mondial Premium 500W Prata,Utilidades Domésticas,Mondial,1,389.66,35.6,425.26,boleto,faturado,
ORD-20250130-00058,T-20250130-00058,2025-01-30,1095,SKU-CLI-00096,Climatizador de Ar LG ThinQ 7L Inox,Climatização,LG,1,3343.84,0.0,3343.84,credit_card,faturado,
ORD-20250107-00193,T-20250107-00193,2025-01-07,3322,SKU-TVA-00523,Soundbar JBL Pulse 180W Cinza,"TV, Áudio e Vídeo",JBL,1,363.32,0.0,363.32,pix,faturado,
ORD-20250204-00189,T-20250204-00189,2025-02-04,3742,SKU-ESP-00343,Churrasqueira Gallant Force Elétrica de Bancada,Esporte e Lazer,Gallant,1,1183.86,17.37,1201.23,debit_card,faturado,
ORD-20250228-00245,T-20250228-00245,2025-02-28,2967,SKU-TVA-00168,"Smart TV Samsung Crystal 50"" 4K Grafite","TV, Áudio e Vídeo",Samsung,1,5500.45,0.0,5500.45,credit_card,faturado,
ORD-20250104-X0657,,2025-01-04,3614,SKU-ESP-00215,Mesa de Ping Pong Gallant Elite MDF 18mm Dobrável Cinza Bivolt,Esporte e Lazer,Gallant,1,385.07,0.0,385.07,pix,faturado,
ORD-20250123-00332,T-20250123-00332,2025-01-23,4393,SKU-MOV-00294,Cama Box Artely Cleo Casal Prata,Móveis,Artely,1,444.08,54.3,498.38,pix,faturado,
ORD-20250108-X1072,,2025-01-08,5669,SKU-FER-00070,Furadeira de Impacto Bosch GWS 750W,Ferramentas,Bosch,1,715.36,0.0,715.36,boleto,cancelado,
ORD-20250126-00105,T-20250126-00105,2025-01-26,1341,SKU-CLI-00342,Ar Condicionado Portátil Samsung WindFree 9000 BTUs Branco,Climatização,Samsung,3,12064.65,64.29,12128.94,credit_card,faturado,
ORD-20250120-00146,T-20250120-00146,2025-01-20,4699,SKU-MOV-00600,Sofá Germai Viena 3 Lugares Preto,Móveis,Germai,1,1421.61,0.0,1421.61,boleto,faturado,
ORD-20250216-00037,T-20250216-00037,2025-02-16,2691,SKU-ELE-00892,Micro-ondas Britânia Diamante 34L Branco,Eletrodomésticos,Britânia,1,545.62,0.0,545.62,credit_card,faturado,
ORD-20250211-00226,T-20250211-00226,2025-02-11,2402,SKU-ELE-00603,Fogão Samsung Crystal Cooktop 5 Bocas Branco,Eletrodomésticos,Samsung,1,998.67,0.0,998.67,boleto,faturado,
ORD-20250225-00248,T-20250225-00248,2025-02-25,1295,SKU-CLI-00296,Aquecedor Elétrico Samsung Digital Inverter 2000W Prata,Climatização,Samsung,1,2333.85,0.0,2333.85,pix,faturado,
ORD-20250210-00312,T-20250210-00312,2025-02-10,3409,SKU-ESP-00010,Piscina Inflável Gallant Force 3500L Cinza,Esporte e Lazer,Gallant,1,1345.34,0.0,1345.34,credit_card,entregue,
ORD-20250127-00045,T-20250127-00045,2025-01-27,1325,SKU-CLI-00326,Aquecedor Elétrico Samsung Bespoke 1500W Preto,Climatização,Samsung,1,3635.36,0.0,3635.36,credit_card,faturado,
ORD-20250219-00090,T-20250219-00090,2025-02-19,2104,SKU-ELE-00305,Geladeira Electrolux Eco Turbo Duplex 362L Inox,Eletrodomésticos,Electrolux,1,1561.22,0.0,1561.22,credit_card,faturado,
ORD-20250128-00365,T-20250128-00365,2025-01-28,4363,SKU-MOV-00264,Cadeira de Escritório Casatema Veneza Presidente Couro Grafite,Móveis,Casatema,1,382.97,0.0,382.97,credit_card,faturado,
ORD-20250225-00167,T-20250225-00167,2025-02-25,1243,SKU-CLI-00244,Ventilador de Coluna LG Dual Inverter Voice 40cm Preto 220V,Climatização,LG,1,3331.24,18.04,3349.28,credit_card,faturado,
ORD-20250228-00282,T-20250228-00282,2025-02-28,4593,SKU-MOV-00494,Cadeira de Escritório Kappesberg Nice Giratória com Braço Prata,Móveis,Kappesberg,1,2642.34,0.0,2642.34,pix,faturado,
ORD-20250128-00156,T-20250128-00156,2025-01-28,1165,SKU-CLI-00166,Climatizador de Ar LG ThinQ 15L Inox,Climatização,LG,1,3746.07,0.0,3746.07,boleto,faturado,
ORD-20250226-00235,T-20250226-00235,2025-02-26,1065,SKU-CLI-00066,Ar Condicionado Split LG Smart 30000 BTUs Quente/Frio,Climatização,LG,1,4168.97,47.56,4216.53,boleto,devolvido,
ORD-20250204-00130,T-20250204-00130,2025-02-04,3149,SKU-TVA-00350,Caixa de Som Bluetooth LG Dual Inverter Voice 30W Cinza,"TV, Áudio e Vídeo",LG,1,2094.39,28.67,2123.06,pix,faturado,
ORD-20250122-00239,T-20250122-00239,2025-01-22,1526,SKU-CLI-00527,Ar Condicionado Split Elgin Eco Plus 18000 BTUs Quente/Frio Grafite,Climatização,Elgin,3,5613.98,0.0,5613.98,credit_card,faturado,
ORD-20250123-X1088,,2025-01-23,5497,SKU-ILU-00298,Luminária de Piso Blumenau Solar Arco,Iluminação,Blumenau,1,200.14,75.34,275.48,credit_card,faturado,
ORD-20250101-00242,T-20250101-00242,2025-01-01,5817,SKU-FER-00218,Nível a Laser Tramontina Smart 40m Profissional Preto,Ferramentas,Tramontina,3,608.81,0.0,608.81,boleto,faturado,
ORD-20250212-X1099,,2025-02-12,3504,SKU-ESP-00105,Mesa de Ping Pong Gallant Force MDF 15mm Cinza,Esporte e Lazer,Gallant,1,195.7,88.27,283.97,credit_card,faturado,
ORD-20250115-00237,T-20250115-00237,2025-01-15,5741,SKU-FER-00142,"Esmerilhadeira DeWalt FlexVolt 4 1/2"" 850W Branco",Ferramentas,DeWalt,1,193.88,71.7,265.58,pix,faturado,
ORD-20250110-00076,T-20250110-00076,2025-01-10,2601,SKU-ELE-00802,Geladeira Philco PTV Frost Free 431L Branco,Eletrodomésticos,Philco,2,642.84,0.0,642.84,pix,faturado,
ORD-20250225-00094,T-20250225-00094,2025-02-25,1333,SKU-CLI-00334,Climatizador de Ar Samsung Crystal 20L Grafite,Climatização,Samsung,1,5033.48,0.0,5033.48,pix,faturado,
ORD-20250206-00072,T-20250206-00072,2025-02-06,1209,SKU-CLI-00210,Purificador de Ar LG Dual Inverter Voice até 50m² Cinza,Climatização,LG,1,1787.22,0.0,1787.22,credit_card,faturado,
ORD-20250202-00121,T-20250202-00121,2025-02-02,4969,SKU-UTD-00270,Batedeira Philco Hit 300W Cinza,Utilidades Domésticas,Philco,1,560.04,0.0,560.04,pix,faturado,
ORD-20250211-00225,T-20250211-00225,2025-02-11,2492,SKU-ELE-00693,Aspirador de Pó Samsung Digital Inverter 1200W Grafite 220V,Eletrodomésticos,Samsung,1,1991.51,0.0,1991.51,debit_card,faturado,
ORD-20250112-00029,T-20250112-00029,2025-01-12,1162,SKU-CLI-00163,Ar Condicionado Portátil LG Dual Inverter 14000 BTUs Prata,Climatização,LG,1,3321.38,0.0,3321.38,credit_card,faturado,
ORD-20250228-00069,T-20250228-00069,2025-02-28,1593,SKU-CLI-00594,Aquecedor Elétrico Philco Eco Inverter 1500W Preto,Climatização,Philco,1,1363.59,0.0,1363.59,credit_card,entregue,
ORD-20250130-00184,T-20250130-00184,2025-01-30,1266,SKU-CLI-00267,Ventilador de Coluna LG Dual Inverter Voice 40cm Prata,Climatização,LG,2,3692.32,5.53,3697.85,credit_card,faturado,
ORD-20250220-00141,T-20250220-00141,2025-02-20,4078,SKU-ESP-00679,Churrasqueira Mor Premium Elétrica de Bancada Inox,Esporte e Lazer,Mor,1,566.83,64.16,630.99,credit_card,faturado,
ORD-20250214-00190,T-20250214-00190,2025-02-14,4968,SKU-UTD-00269,Processador de Alimentos Philco Hit 1000W Multiprocessador,Utilidades Domésticas,Philco,1,454.89,0.0,454.89,credit_card,faturado,
ORD-20250222-00038,T-20250222-00038,2025-02-22,1717,SKU-CLI-00718,Aquecedor Elétrico Springer Midea 2000W Cinza,Climatização,Springer,1,1965.81,50.27,2016.08,boleto,faturado,
ORD-20250222-00033,T-20250222-00033,2025-02-22,1131,SKU-CLI-00132,Ar Condicionado Split LG Dual Inverter Voice 9000 BTUs Frio Cinza,Climatização,LG,1,2597.69,0.0,2597.69,credit_card,entregue,
ORD-20250117-00086,T-20250117-00086,2025-01-17,2251,SKU-ELE-00452,Lava e Seca Consul Bem Estar 12kg/8kg Inox Bivolt,Eletrodomésticos,Consul,1,990.07,33.58,1023.65,pix,faturado,
ORD-20250103-00217,T-20250103-00217,2025-01-03,5361,SKU-ILU-00162,Lustre Pendente Philips Walita 5 Lâmpadas,Iluminação,Philips,1,220.72,4.66,225.38,pix,cancelado,
ORD-20250226-00080,T-20250226-00080,2025-02-26,1336,SKU-CLI-00337,Climatizador de Ar Samsung EcoBubble 15L Cinza,Climatização,Samsung,1,4967.01,12.19,4979.2,credit_card,faturado,
ORD-20250228-00111,T-20250228-00111,2025-02-28,1273,SKU-CLI-00274,Ar Condicionado Portátil LG Smart 9000 BTUs Prata,Climatização,LG,1,2209.62,0.0,2209.62,credit_card,faturado,
ORD-20250129-00098,T-20250129-00098,2025-01-29,1650,SKU-CLI-00651,Cortina de Ar Consul Facilite 90cm Prata,Climatização,Consul,1,2038.62,0.0,2038.62,credit_card,faturado,
ORD-20250122-00272,T-20250122-00272,2025-01-22,2329,SKU-ELE-00530,Lava e Seca LG ThinQ 11kg/7kg Cinza,Eletrodomésticos,LG,1,1378.6,36.09,1414.69,credit_card,faturado,
ORD-20250222-X0424,,2025-02-22,4974,SKU-UTD-00275,"Fritadeira Air Fryer Philco Hit 3,2L Preto",Utilidades Domésticas,Philco,1,485.37,0.0,485.37,credit_card,cancelado,
ORD-20250101-00184,T-20250101-00184,2025-01-01,4152,SKU-MOV-00053,Cama Box Madesa Dakota Queen Grafite,Móveis,Madesa,1,1788.36,0.0,1788.36,boleto,faturado,
ORD-20250128-00346,T-20250128-00346,2025-01-28,3633,SKU-ESP-00234,Bicicleta Ergométrica Gallant Force Spinning Inox,Esporte e Lazer,Gallant,2,3022.33,22.16,3044.49,boleto,faturado,
ORD-20250104-00032,T-20250104-00032,2025-01-04,1619,SKU-CLI-00620,Climatizador de Ar Philco PTV 15L Preto,Climatização,Philco,1,1963.28,0.0,1963.28,credit_card,faturado,SIM
ORD-20250228-00285,T-20250228-00285,2025-02-28,4263,SKU-MOV-00164,Escrivaninha Linea Brasil Adonai com Gavetas Preto,Móveis,Linea Brasil,2,1010.48,3.46,1013.94,credit_card,faturado,
ORD-20250222-00062,T-20250222-00062,2025-02-22,1157,SKU-CLI-00158,Climatizador de Ar LG NeoChef 7L,Climatização,LG,1,3639.84,0.21,3640.05,credit_card,faturado,
ORD-20250211-00098,T-20250211-00098,2025-02-11,1808,SKU-ELE-00009,Forno Elétrico Brastemp Clean 36L Inox,Eletrodomésticos,Brastemp,2,2891.16,0.0,2891.16,credit_card,faturado,SIM
ORD-20250227-00097,T-20250227-00097,2025-02-27,1400,SKU-CLI-00401,Climatizador de Ar Midea Springer 15L Inox,Climatização,Midea,1,2633.1,17.32,2650.42,credit_card,cancelado,
ORD-20250112-00095,T-20250112-00095,2025-01-12,1979,SKU-ELE-00180,Freezer Horizontal Brastemp Gourmand 300L Grafite,Eletrodomésticos,Brastemp,3,2870.18,77.49,2947.67,boleto,faturado,
ORD-20250113-00113,T-20250113-00113,2025-01-13,3334,SKU-TVA-00535,"Smart TV Sony XR 75"" 4K Prata","TV, Áudio e Vídeo",Sony,2,10710.04,0.0,10710.04,boleto,faturado,
ORD-20250115-00232,T-20250115-00232,2025-01-15,5934,SKU-FER-00335,Nível a Laser Stanley Essential 40m Profissional Inox,Ferramentas,Stanley,1,274.6,37.66,312.26,credit_card,faturado,
ORD-20250121-00156,T-20250121-00156,2025-01-21,2498,SKU-ELE-00699,Fogão Samsung Digital Inverter Cooktop 5 Bocas Cinza,Eletrodomésticos,Samsung,1,3358.7,80.85,3439.55,credit_card,faturado,
ORD-20250211-00070,T-20250211-00070,2025-02-11,1813,SKU-ELE-00014,Forno Elétrico Brastemp Ative! 36L Prata,Eletrodomésticos,Brastemp,1,2143.61,0.0,2143.61,pix,cancelado,
ORD-20250203-00097,T-20250203-00097,2025-02-03,2805,SKU-TVA-00006,Soundbar Philco Hit 180W Prata,"TV, Áudio e Vídeo",Philco,1,981.87,0.0,981.87,pix,faturado,
ORD-20250228-00143,T-20250228-00143,2025-02-28,1283,SKU-CLI-00284,Purificador de Ar Samsung Digital Inverter até 30m²,Climatização,Samsung,1,3971.36,0.0,3971.36,debit_card,entregue,
ORD-20250220-00034,T-20250220-00034,2025-02-20,1338,SKU-CLI-00339,Cortina de Ar Samsung Evolution 90cm Branco,Climatização,Samsung,1,3060.59,50.23,3110.82,pix,faturado,
ORD-20250213-00045,T-20250213-00045,2025-02-13,1567,SKU-CLI-00568,Ar Condicionado Split Elgin Eco Inverter 24000 BTUs Frio Branco,Climatização,Elgin,1,3133.0,35.9,3168.9,credit_card,faturado,
ORD-20250114-00022,T-20250114-00022,2025-01-14,1702,SKU-CLI-00703,Ar Condicionado Split Springer Midea 30000 BTUs Frio Preto,Climatização,Springer,1,2110.55,13.88,2124.43,credit_card,faturado,
