item_id,sku,nome_produto,categoria,marca,preco,url_produto,status_url,voltagem,data_cadastro
5887,SKU-FER-00288,Trena Vonder Plus 5m Grafite,Ferramentas,Vonder,230.43,https://www.lojaficticia.com.br/produto/trena-vonder-plus-5m-grafite,ativo,220V,2024-04-08
5960,SKU-FER-00361,Compressor de Ar Black+Decker Evo 2HP 50L Inox,Ferramentas,Black+Decker,242.29,https://www.lojaficticia.com.br/produto/compressor-de-ar-black+decker-evo-2hp-50l-inox,ativo,Bivolt,2024-02-19
5414,SKU-ILU-00215,Arandela Avant Slim Externa Inox 110V,Iluminação,Avant,24.4,https://www.lojaficticia.com.br/produto/arandela-avant-slim-externa-inox-110v,ativo,110V,2024-08-06
1934,SKU-ELE-00135,Lava-Louças Brastemp Frost Free 8 Serviços Inox,Eletrodomésticos,Brastemp,3394.38,https://www.lojaficticia.com.br/produto/lava-loucas-brastemp-frost-free-8-servicos-inox,ativo,Bivolt,2024-01-13
1206,SKU-CLI-00207,Desumidificador LG Dual Inverter Voice 12L/dia Cinza,Climatização,LG,3930.23,https://www.lojaficticia.com.br/produto/desumidificador-lg-dual-inverter-voice-12l-dia-cinza,ativo,110V,2024-06-16
3298,SKU-TVA-00499,Fone de Ouvido JBL Boombox Bluetooth In-Ear Inox,"TV, Áudio e Vídeo",JBL,320.3,https://www.lojaficticia.com.br/produto/fone-de-ouvido-jbl-boombox-bluetooth-in-ear-inox,ativo,110V,2024-02-08
3811,SKU-ESP-00412,"Cama Elástica Gallant Combat 3,10m com Rede de Proteção",Esporte e Lazer,Gallant,319.33,"https://www.lojaficticia.com.br/produto/cama-elastica-gallant-combat-3,10m-com-rede-de-protecao",ativo,220V,2024-06-02
3245,SKU-TVA-00446,Soundbar TCL C645 180W Cinza,"TV, Áudio e Vídeo",TCL,1604.75,https://www.lojaficticia.com.br/produto/soundbar-tcl-c645-180w-cinza,ativo,110V,2024-03-12
1124,SKU-CLI-00125,Climatizador de Ar LG NeoChef 7L Branco,Climatização,LG,2476.12,https://www.lojaficticia.com.br/produto/climatizador-de-ar-lg-neochef-7l-branco,ativo,110V,2024-09-11
1826,SKU-ELE-00027,Fogão Brastemp Ative! Cooktop 5 Bocas Preto,Eletrodomésticos,Brastemp,2111.39,https://www.lojaficticia.com.br/produto/fogao-brastemp-ative!-cooktop-5-bocas-preto,ativo,110V,2024-04-28
2588,SKU-ELE-00789,Freezer Horizontal Philco Hit 414L Cinza,Eletrodomésticos,Philco,173.66,https://www.lojaficticia.com.br/produto/freezer-horizontal-philco-hit-414l-cinza,ativo,110V,2024-03-21
1161,SKU-CLI-00162,Ventilador de Coluna LG ThinQ 60cm Turbo Grafite,Climatização,LG,2642.73,https://www.lojaficticia.com.br/produto/ventilador-de-coluna-lg-thinq-60cm-turbo-grafite,ativo,220V,2024-01-28
2614,SKU-ELE-00815,Aspirador de Pó Philco Hit Vertical sem Fio Inox,Eletrodomésticos,Philco,788.52,https://www.lojaficticia.com.br/produto/aspirador-de-po-philco-hit-vertical-sem-fio-inox,ativo,110V,2024-06-02
4929,SKU-UTD-00230,Processador de Alimentos Philco PTV 500W,Utilidades Domésticas,Philco,407.83,https://www.lojaficticia.com.br/produto/processador-de-alimentos-philco-ptv-500w,ativo,110V,2024-06-26
2022,SKU-ELE-00223,Lava-Louças Electrolux Pure i9 8 Serviços Prata,Eletrodomésticos,Electrolux,2731.91,https://www.lojaficticia.com.br/produto/lava-loucas-electrolux-pure-i9-8-servicos-prata,ativo,Bivolt,2024-05-07
3254,SKU-TVA-00455,Home Theater TCL Semp 2.1 300W Grafite,"TV, Áudio e Vídeo",TCL,2226.28,https://www.lojaficticia.com.br/produto/home-theater-tcl-semp-2.1-300w-grafite,ativo,220V,2024-06-25
4880,SKU-UTD-00181,Panela Elétrica de Pressão Britânia Air 6L Prata 110V,Utilidades Domésticas,Britânia,182.95,https://www.lojaficticia.com.br/produto/panela-eletrica-de-pressao-britania-air-6l-prata-110v,ativo,110V,2024-11-02
4890,SKU-UTD-00191,Cafeteira Britânia Mega Espresso Cinza,Utilidades Domésticas,Britânia,488.82,https://www.lojaficticia.com.br/produto/cafeteira-britania-mega-espresso-cinza,ativo,110V,2024-07-27
1096,SKU-CLI-00097,Aquecedor Elétrico LG Smart Mica 1200W Preto,Climatização,LG,2286.43,https://www.lojaficticia.com.br/produto/aquecedor-eletrico-lg-smart-mica-1200w-preto,ativo,220V,2024-06-28
4354,SKU-MOV-00255,Cadeira de Escritório Casatema Siena Presidente Couro,Móveis,Casatema,787.66,https://www.lojaficticia.com.br/produto/cadeira-de-escritorio-casatema-siena-presidente-couro,ativo,220V,2024-11-17
2198,SKU-ELE-00399,Fogão Consul Multi Ar 4 Bocas,Eletrodomésticos,Consul,969.02,https://www.lojaficticia.com.br/produto/fogao-consul-multi-ar-4-bocas,ativo,Bivolt,2024-05-18
3908,SKU-ESP-00509,Churrasqueira Gallant Combat Elétrica de Bancada,Esporte e Lazer,Gallant,629.5,https://www.lojaficticia.com.br/produto/churrasqueira-gallant-combat-eletrica-de-bancada,ativo,110V,2024-03-22
1243,SKU-CLI-00244,Ventilador de Coluna LG Dual Inverter Voice 40cm Preto 220V,Climatização,LG,4348.63,https://www.lojaficticia.com.br/produto/ventilador-de-coluna-lg-dual-inverter-voice-40cm-preto-220v,ativo,220V,2024-10-07
5843,SKU-FER-00244,Serra Tico-Tico Tramontina Smart 400W Grafite,Ferramentas,Tramontina,33.59,https://www.lojaficticia.com.br/produto/serra-tico-tico-tramontina-smart-400w-grafite,ativo,Bivolt,2024-04-27
5811,SKU-FER-00212,Lixadeira Orbital Tramontina Profissional de Cinta 720W Preto,Ferramentas,Tramontina,124.7,https://www.lojaficticia.com.br/produto/lixadeira-orbital-tramontina-profissional-de-cinta-720w-preto,ativo,220V,2024-06-09
1929,SKU-ELE-00130,Lava e Seca Brastemp Ative! 11kg/7kg Preto 110V,Eletrodomésticos,Brastemp,1246.74,https://www.lojaficticia.com.br/produto/lava-e-seca-brastemp-ative!-11kg-7kg-preto-110v,ativo,110V,2024-01-17
4564,SKU-MOV-00465,Cadeira de Escritório Bertolini Luce Giratória Simples Inox,Móveis,Bertolini,1319.07,https://www.lojaficticia.com.br/produto/cadeira-de-escritorio-bertolini-luce-giratoria-simples-inox,ativo,220V,2024-09-04
3964,SKU-ESP-00565,Esteira Elétrica Gallant Force até 14km/h Prata Bivolt,Esporte e Lazer,Gallant,615.66,https://www.lojaficticia.com.br/produto/esteira-eletrica-gallant-force-ate-14km-h-prata-bivolt,ativo,Bivolt,2024-11-15
4457,SKU-MOV-00358,Cama Box Caemmun Elegance Casal Preto,Móveis,Caemmun,467.46,https://www.lojaficticia.com.br/produto/cama-box-caemmun-elegance-casal-preto,ativo,Bivolt,2024-10-12
2609,SKU-ELE-00810,Fogão Philco Eco Inverter 5 Bocas Cinza,Eletrodomésticos,Philco,845.88,https://www.lojaficticia.com.br/produto/fogao-philco-eco-inverter-5-bocas-cinza,ativo,110V,2024-10-07
1186,SKU-CLI-00187,Cortina de Ar LG Art Cool 120cm Grafite,Climatização,LG,2124.62,https://www.lojaficticia.com.br/produto/cortina-de-ar-lg-art-cool-120cm-grafite,ativo,Bivolt,2024-07-16
1052,SKU-CLI-00053,Ventilador de Torre LG ThinQ Silencioso Cinza,Climatização,LG,3139.96,https://www.lojaficticia.com.br/produto/ventilador-de-torre-lg-thinq-silencioso-cinza,ativo,220V,2024-09-08
1796,SKU-CLI-00797,Purificador de Ar Britânia Diamante até 50m² Prata,Climatização,Britânia,275.76,https://www.lojaficticia.com.br/produto/purificador-de-ar-britania-diamante-ate-50m2-prata,ativo,220V,2024-10-03
5702,SKU-FER-00103,"Esmerilhadeira DeWalt Atomic 4 1/2"" 710W Inox",Ferramentas,DeWalt,711.84,"https://www.lojaficticia.com.br/produto/esmerilhadeira-dewalt-atomic-4-1-2""-710w-inox",ativo,Bivolt,2024-10-14
5694,SKU-FER-00095,Parafusadeira Bosch GBH de Impacto 20V Prata,Ferramentas,Bosch,575.78,https://www.lojaficticia.com.br/produto/parafusadeira-bosch-gbh-de-impacto-20v-prata,ativo,110V,2024-04-29
1462,SKU-CLI-00463,Ar Condicionado Portátil Midea Vizi 12000 BTUs Prata,Climatização,Midea,1930.41,https://www.lojaficticia.com.br/produto/ar-condicionado-portatil-midea-vizi-12000-btus-prata,erro_404,Bivolt,2024-01-02
5522,SKU-ILU-00323,Fita LED Blumenau Slim 10m Smart Wi-Fi Cinza,Iluminação,Blumenau,50.03,https://www.lojaficticia.com.br/produto/fita-led-blumenau-slim-10m-smart-wi-fi-cinza,ativo,110V,2024-05-20
1530,SKU-CLI-00531,Ar Condicionado Split Elgin Eco 24000 BTUs Quente/Frio Preto,Climatização,Elgin,3006.35,https://www.lojaficticia.com.br/produto/ar-condicionado-split-elgin-eco-24000-btus-quente-frio-preto,ativo,220V,2024-11-15
4854,SKU-UTD-00155,Liquidificador Britânia Turbo 500W Prata,Utilidades Domésticas,Britânia,494.11,https://www.lojaficticia.com.br/produto/liquidificador-britania-turbo-500w-prata,ativo,110V,2024-03-21
5061,SKU-UTD-00362,Processador de Alimentos Electrolux UltimateCare 500W Prata,Utilidades Domésticas,Electrolux,532.6,https://www.lojaficticia.com.br/produto/processador-de-alimentos-electrolux-ultimatecare-500w-prata,ativo,220V,2024-01-02
2312,SKU-ELE-00513,Aspirador de Pó LG Art Cool 1200W Branco,Eletrodomésticos,LG,2381.38,https://www.lojaficticia.com.br/produto/aspirador-de-po-lg-art-cool-1200w-branco,ativo,220V,2024-10-10
2700,SKU-ELE-00901,Lava-Louças Mondial Power 8 Serviços Inox,Eletrodomésticos,Mondial,190.79,https://www.lojaficticia.com.br/produto/lava-loucas-mondial-power-8-servicos-inox,ativo,220V,2024-03-28
3879,SKU-ESP-00480,Kit Halteres Gallant Force 10kg Inox 110V,Esporte e Lazer,Gallant,775.61,https://www.lojaficticia.com.br/produto/kit-halteres-gallant-force-10kg-inox-110v,ativo,110V,2024-08-02
3738,SKU-ESP-00339,Piscina Inflável Gallant Combat 5000L Estrutural Cinza,Esporte e Lazer,Gallant,967.29,https://www.lojaficticia.com.br/produto/piscina-inflavel-gallant-combat-5000l-estrutural-cinza,ativo,110V,2024-01-23
3223,SKU-TVA-00424,Fone de Ouvido AOC Roku TV Bluetooth Over-Ear Preto,"TV, Áudio e Vídeo",AOC,1216.99,https://www.lojaficticia.com.br/produto/fone-de-ouvido-aoc-roku-tv-bluetooth-over-ear-preto,ativo,Bivolt,2024-02-10
4235,SKU-MOV-00136,Estante Linea Brasil Adonai Modular Branco,Móveis,Linea Brasil,1211.33,https://www.lojaficticia.com.br/produto/estante-linea-brasil-adonai-modular-branco,ativo,Bivolt,2024-07-17
2483,SKU-ELE-00684,Forno Elétrico Samsung Digital Inverter 44L Prata,Eletrodomésticos,Samsung,3728.33,https://www.lojaficticia.com.br/produto/forno-eletrico-samsung-digital-inverter-44l-prata,ativo,Bivolt,2024-01-24
1781,SKU-CLI-00782,Climatizador de Ar Britânia Mega 7L Grafite,Climatização,Britânia,676.53,https://www.lojaficticia.com.br/produto/climatizador-de-ar-britania-mega-7l-grafite,ativo,110V,2024-04-08
2216,SKU-ELE-00417,Freezer Vertical Consul Facilite 300L,Eletrodomésticos,Consul,1162.56,https://www.lojaficticia.com.br/produto/freezer-vertical-consul-facilite-300l,ativo,Bivolt,2024-11-15
1673,SKU-CLI-00674,Ar Condicionado Portátil Consul Multi Ar 14000 BTUs Prata,Climatização,Consul,1001.22,https://www.lojaficticia.com.br/produto/ar-condicionado-portatil-consul-multi-ar-14000-btus-prata,ativo,220V,2024-03-17
3995,SKU-ESP-00596,Piscina Inflável Kikos FIT 5000L Estrutural Prata,Esporte e Lazer,Kikos,1824.2,https://www.lojaficticia.com.br/produto/piscina-inflavel-kikos-fit-5000l-estrutural-prata,ativo,220V,2024-05-01
5507,SKU-ILU-00308,Spot de Embutir Blumenau Slim LED 18W Cinza,Iluminação,Blumenau,197.61,https://www.lojaficticia.com.br/produto/spot-de-embutir-blumenau-slim-led-18w-cinza,ativo,Bivolt,2024-02-01
1880,SKU-ELE-00081,Freezer Horizontal Brastemp Clean 414L Inox,Eletrodomésticos,Brastemp,2252.19,https://www.lojaficticia.com.br/produto/freezer-horizontal-brastemp-clean-414l-inox,ativo,220V,2024-01-07
5013,SKU-UTD-00314,Processador de Alimentos Arno Power Max 1000W Multiprocessador Preto 220V,Utilidades Domésticas,Arno,357.87,https://www.lojaficticia.com.br/produto/processador-de-alimentos-arno-power-max-1000w-multiprocessador-preto-220v,ativo,220V,2024-10-22
3279,SKU-TVA-00480,Home Theater TCL Semp 5.1 500W Cinza,"TV, Áudio e Vídeo",TCL,1524.48,https://www.lojaficticia.com.br/produto/home-theater-tcl-semp-5.1-500w-cinza,ativo,Bivolt,2024-01-23
5793,SKU-FER-00194,Compressor de Ar Makita M-Force 2HP 50L Prata,Ferramentas,Makita,456.7,https://www.lojaficticia.com.br/produto/compressor-de-ar-makita-m-force-2hp-50l-prata,ativo,220V,2024-08-02
1793,SKU-CLI-00794,Ar Condicionado Split Britânia Air 24000 BTUs Frio Cinza,Climatização,Britânia,588.38,https://www.lojaficticia.com.br/produto/ar-condicionado-split-britania-air-24000-btus-frio-cinza,ativo,Bivolt,2024-06-17
2855,SKU-TVA-00056,Home Theater Philco Hit 5.1 1000W Branco 220V,"TV, Áudio e Vídeo",Philco,1562.95,https://www.lojaficticia.com.br/produto/home-theater-philco-hit-5.1-1000w-branco-220v,ativo,220V,2024-05-25
1256,SKU-CLI-00257,Cortina de Ar LG Dual Inverter 150cm Cinza,Climatização,LG,2137.58,https://www.lojaficticia.com.br/produto/cortina-de-ar-lg-dual-inverter-150cm-cinza,ativo,220V,2024-02-10
2527,SKU-ELE-00728,Micro-ondas Panasonic Flash Dry 32L Branco,Eletrodomésticos,Panasonic,1065.13,https://www.lojaficticia.com.br/produto/micro-ondas-panasonic-flash-dry-32l-branco,ativo,110V,2024-03-09
4535,SKU-MOV-00436,Cama Box Bertolini Luce Queen Cinza,Móveis,Bertolini,2864.86,https://www.lojaficticia.com.br/produto/cama-box-bertolini-luce-queen-cinza,ativo,Bivolt,2024-08-01
1288,SKU-CLI-00289,Cortina de Ar Samsung Evolution 150cm Grafite,Climatização,Samsung,4655.31,https://www.lojaficticia.com.br/produto/cortina-de-ar-samsung-evolution-150cm-grafite,ativo,110V,2024-05-23
2222,SKU-ELE-00423,Máquina de Lavar Consul Facilite 15kg Preto,Eletrodomésticos,Consul,1626.1,https://www.lojaficticia.com.br/produto/maquina-de-lavar-consul-facilite-15kg-preto,ativo,110V,2024-03-23
2923,SKU-TVA-00124,"Smart TV Philco PTV 55"" 4K Grafite","TV, Áudio e Vídeo",Philco,2283.86,"https://www.lojaficticia.com.br/produto/smart-tv-philco-ptv-55""-4k-grafite",ativo,220V,2024-08-15
4289,SKU-MOV-00190,Escrivaninha Linea Brasil Munique Simples Branco,Móveis,Linea Brasil,1202.05,https://www.lojaficticia.com.br/produto/escrivaninha-linea-brasil-munique-simples-branco,ativo,Bivolt,2024-01-14
5699,SKU-FER-00100,"Compressor de Ar Bosch GBH 1,5HP 20L Preto Bivolt",Ferramentas,Bosch,258.35,"https://www.lojaficticia.com.br/produto/compressor-de-ar-bosch-gbh-1,5hp-20l-preto-bivolt",ativo,Bivolt,2024-07-03
2383,SKU-ELE-00584,Geladeira LG NeoChef Frost Free 375L Inox,Eletrodomésticos,LG,972.24,https://www.lojaficticia.com.br/produto/geladeira-lg-neochef-frost-free-375l-inox,ativo,Bivolt,2024-04-20
5641,SKU-FER-00042,Compressor de Ar Bosch Professional 2HP 50L,Ferramentas,Bosch,402.47,https://www.lojaficticia.com.br/produto/compressor-de-ar-bosch-professional-2hp-50l,ativo,110V,2024-08-03
2523,SKU-ELE-00724,Lava-Louças Panasonic Econavi 8 Serviços Grafite,Eletrodomésticos,Panasonic,1287.84,https://www.lojaficticia.com.br/produto/lava-loucas-panasonic-econavi-8-servicos-grafite,ativo,110V,2024-02-16
3949,SKU-ESP-00550,Mesa de Ping Pong Gallant Elite Oficial 25mm,Esporte e Lazer,Gallant,1447.95,https://www.lojaficticia.com.br/produto/mesa-de-ping-pong-gallant-elite-oficial-25mm,ativo,220V,2024-03-11
3723,SKU-ESP-00324,Bicicleta Ergométrica Gallant Force Air Bike Preto,Esporte e Lazer,Gallant,928.13,https://www.lojaficticia.com.br/produto/bicicleta-ergometrica-gallant-force-air-bike-preto,ativo,220V,2024-06-04
4069,SKU-ESP-00670,Bicicleta Ergométrica Mor Premium Air Bike Preto,Esporte e Lazer,Mor,344.5,https://www.lojaficticia.com.br/produto/bicicleta-ergometrica-mor-premium-air-bike-preto,ativo,220V,2024-06-30
4624,SKU-MOV-00525,Cama Box Patrimar Gold Casal Branco,Móveis,Patrimar,2439.12,https://www.lojaficticia.com.br/produto/cama-box-patrimar-gold-casal-branco,ativo,Bivolt,2024-05-08
4907,SKU-UTD-00208,Panela Elétrica de Pressão Philco PH800 4L,Utilidades Domésticas,Philco,477.77,https://www.lojaficticia.com.br/produto/panela-eletrica-de-pressao-philco-ph800-4l,ativo,220V,2024-09-05
2605,SKU-ELE-00806,Fogão Philco PH800 Cooktop 4 Bocas Inox,Eletrodomésticos,Philco,725.1,https://www.lojaficticia.com.br/produto/fogao-philco-ph800-cooktop-4-bocas-inox,ativo,Bivolt,2024-03-09
1636,SKU-CLI-00637,Ar Condicionado Split Philco Hit 18000 BTUs Frio Branco,Climatização,Philco,1900.84,https://www.lojaficticia.com.br/produto/ar-condicionado-split-philco-hit-18000-btus-frio-branco,ativo,220V,2024-01-16
2659,SKU-ELE-00860,Lava e Seca Britânia Air 11kg/7kg Branco,Eletrodomésticos,Britânia,425.91,https://www.lojaficticia.com.br/produto/lava-e-seca-britania-air-11kg-7kg-branco,ativo,Bivolt,2024-08-26
5967,SKU-FER-00368,Serra Circular Black+Decker Evo 1200W Grafite,Ferramentas,Black+Decker,370.16,https://www.lojaficticia.com.br/produto/serra-circular-black+decker-evo-1200w-grafite,ativo,Bivolt,2024-11-08
5761,SKU-FER-00162,Jogo de Chaves Makita CXT Allen 9pç,Ferramentas,Makita,595.53,https://www.lojaficticia.com.br/produto/jogo-de-chaves-makita-cxt-allen-9pc,ativo,110V,2024-09-06
3334,SKU-TVA-00535,"Smart TV Sony XR 75"" 4K Prata","TV, Áudio e Vídeo",Sony,4901.41,"https://www.lojaficticia.com.br/produto/smart-tv-sony-xr-75""-4k-prata",ativo,110V,2024-03-14
2351,SKU-ELE-00552,Lava e Seca LG ThinQ 11kg/7kg,Eletrodomésticos,LG,2804.04,https://www.lojaficticia.com.br/produto/lava-e-seca-lg-thinq-11kg-7kg,ativo,220V,2024-08-29
3976,SKU-ESP-00577,Esteira Elétrica Gallant Pro até 14km/h Prata Bivolt,Esporte e Lazer,Gallant,506.1,https://www.lojaficticia.com.br/produto/esteira-eletrica-gallant-pro-ate-14km-h-prata-bivolt,ativo,Bivolt,2024-04-07
2954,SKU-TVA-00155,Caixa de Som Bluetooth Samsung Crystal 30W Branco,"TV, Áudio e Vídeo",Samsung,7532.27,https://www.lojaficticia.com.br/produto/caixa-de-som-bluetooth-samsung-crystal-30w-branco,ativo,Bivolt,2024-03-02
1547,SKU-CLI-00548,Ar Condicionado Split Elgin Hi-Wall 24000 BTUs Frio Cinza,Climatização,Elgin,1926.23,https://www.lojaficticia.com.br/produto/ar-condicionado-split-elgin-hi-wall-24000-btus-frio-cinza,ativo,110V,2024-06-15
3286,SKU-TVA-00487,"Smart TV JBL Boombox 55"" 4K Inox","TV, Áudio e Vídeo",JBL,1208.38,"https://www.lojaficticia.com.br/produto/smart-tv-jbl-boombox-55""-4k-inox",ativo,220V,2024-09-06
1178,SKU-CLI-00179,Ventilador de Coluna LG NeoChef 60cm Turbo Cinza,Climatização,LG,1871.32,https://www.lojaficticia.com.br/produto/ventilador-de-coluna-lg-neochef-60cm-turbo-cinza,ativo,Bivolt,2024-03-07
5567,SKU-ILU-00368,Luminária de Piso Osram Parathom Arco,Iluminação,Osram,66.7,https://www.lojaficticia.com.br/produto/luminaria-de-piso-osram-parathom-arco,ativo,110V,2024-04-01
5835,SKU-FER-00236,Parafusadeira Tramontina Profissional a Bateria 20V Inox,Ferramentas,Tramontina,109.9,https://www.lojaficticia.com.br/produto/parafusadeira-tramontina-profissional-a-bateria-20v-inox,ativo,Bivolt,2024-07-20
